PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,3:40,0,2,.000,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,1,0
Ja Morant,3:40,1,1,1.000,0,0,0.0,1,2,.500,0,0,0,0,0,0,0,0,3,0
Jonas ValanÄiÅ«nas,3:49,2,3,.667,0,0,0.0,1,1,1.000,1,2,3,0,0,1,0,1,5,-2
Solomon Hill,5:17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3
Josh Jackson,8:46,1,4,.250,0,2,.000,0,0,0.0,0,0,0,1,0,0,0,1,2,-3
Kyle Anderson,8:11,2,4,.500,0,0,0.0,0,0,0.0,0,4,4,1,1,1,1,1,4,-2
Tyus Jones,8:20,2,4,.500,0,1,.000,0,0,0.0,0,1,1,2,3,0,1,0,4,-4
De'Anthony Melton,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
John Konchar,8:20,1,2,.500,0,1,.000,0,0,0.0,0,1,1,2,0,0,0,0,2,-4
Yuta Watanabe,6:43,0,0,0.0,0,0,0.0,0,2,.000,0,0,0,0,0,0,0,1,0,-1
Team Totals,240,45,96,.469,6,31,.194,15,26,.577,11,23,34,17,10,8,11,21,111,0
Khris Middleton,7:05,1,1,1.000,0,0,0.0,2,2,1.000,0,1,1,4,0,0,1,2,4,-6
Wesley Matthews,10:27,0,2,.000,0,2,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
Giannis Antetokounmpo,6:46,4,7,.571,0,1,.000,1,1,1.000,0,1,1,0,1,0,1,1,9,-2
Eric Bledsoe,8:00,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,2,1,0,-3
Thanasis Antetokounmpo,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Pat Connaughton,10:37,2,3,.667,1,2,.500,0,0,0.0,0,6,6,0,0,0,0,0,5,-6
Brook Lopez,5:23,2,3,.667,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,0,4,0
Sterling Brown,4:55,1,2,.500,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,2,+3
Kyle Korver,5:33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,+1
Robin Lopez,1:14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+2
Ersan Ä°lyasova,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,43,95,.453,12,40,.300,17,26,.654,7,39,46,29,7,5,13,14,115,0
Will Barton,5:38,2,3,.667,1,2,.500,0,0,0.0,0,0,0,0,0,0,1,1,5,+2
Nikola JokiÄ‡,12:00,3,5,.600,1,2,.500,0,0,0.0,0,2,2,2,1,0,0,0,7,+3
Jerami Grant,5:38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,+2
Monte Morris,5:38,1,1,1.000,0,0,0.0,2,2,1.000,0,1,1,0,0,0,0,0,4,+2
Torrey Craig,6:50,1,1,1.000,1,1,1.000,0,0,0.0,0,0,0,0,0,0,0,1,3,0
Malik Beasley,9:59,1,4,.250,1,2,.500,0,0,0.0,0,2,2,1,1,0,1,1,3,+5
Michael Porter,1:33,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Juan HernangÃ³mez,6:22,1,2,.500,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,0,2,+1
PJ Dozier,6:22,1,2,.500,0,1,.000,1,1,1.000,0,1,1,1,0,0,0,0,3,+1
Team Totals,240,48,100,.480,22,46,.478,9,9,1.000,7,43,50,29,8,10,12,19,127,0
Deandre Ayton,10:53,2,6,.333,0,0,0.0,0,0,0.0,2,2,4,0,0,1,0,0,4,-3
Devin Booker,8:13,0,4,.000,0,2,.000,4,4,1.000,0,0,0,1,0,0,2,4,4,-9
Kelly Oubre,12:00,3,7,.429,3,6,.500,2,3,.667,1,3,4,0,1,0,3,0,11,-6
Mikal Bridges,7:13,0,0,0.0,0,0,0.0,2,2,1.000,2,1,3,0,0,0,1,1,2,-7
Ricky Rubio,7:39,0,1,.000,0,0,0.0,1,2,.500,0,0,0,2,1,0,1,2,1,-8
Ty Jerome,4:47,2,3,.667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,+1
Tyler Johnson,4:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,+1
Jevon Carter,3:40,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,+4
Cheick Diallo,1:07,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-3
Dario Å ariÄ‡,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,36,76,.474,9,24,.375,26,29,.897,11,29,40,20,6,6,19,25,107,0
Chris Paul,8:40,1,3,.333,0,2,.000,4,4,1.000,0,1,1,3,1,0,0,1,6,+1
Shai Gilgeous-Alexander,7:13,2,5,.400,0,1,.000,2,2,1.000,0,2,2,1,0,0,1,0,6,+7
