PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Austin Rivers,2:06,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Gary Clark,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,39,87,.448,15,39,.385,20,23,.870,6,33,39,18,10,3,11,22,113,0
Alec Burks,7:59,3,4,.750,2,3,.667,0,0,0.0,0,0,0,1,0,0,0,2,8,-2
D'Angelo Russell,9:33,1,4,.250,1,2,.500,5,6,.833,0,0,0,0,0,0,2,1,8,-12
Draymond Green,9:40,0,0,0.0,0,0,0.0,2,2,1.000,0,5,5,3,0,1,3,1,2,-3
Willie Cauley-Stein,7:12,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,-1
Damion Lee,12:00,2,3,.667,1,1,1.000,2,2,1.000,0,1,1,2,0,0,2,1,7,-8
Ky Bowman,7:02,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1
Eric Paschall,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Marquese Chriss,2:20,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-5
Jacob Evans,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kevon Looney,4:13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-8
Jordan Poole,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Omari Spellman,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,38,87,.437,12,30,.400,25,30,.833,13,42,55,27,11,6,19,27,113,0
Andrew Wiggins,12:00,4,9,.444,0,2,.000,0,1,.000,1,3,4,1,0,0,1,1,8,+8
Gorgui Dieng,12:00,2,3,.667,0,0,0.0,2,2,1.000,3,1,4,1,1,0,0,2,6,+8
Josh Okogie,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jarrett Culver,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Robert Covington,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jordan McLaughlin,12:00,4,9,.444,2,4,.500,2,2,1.000,0,1,1,3,2,0,0,1,12,+8
Treveon Graham,12:00,1,1,1.000,1,1,1.000,0,0,0.0,0,1,1,1,0,0,1,0,3,+8
Jeff Teague,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Noah Vonleh,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kelan Martin,12:00,3,5,.600,2,3,.667,0,0,0.0,0,0,0,0,1,0,1,1,8,+8
Jaylen Nowell,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Keita Bates-Diop,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jordan Bell,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,35,87,.402,11,34,.324,23,29,.793,9,31,40,16,10,7,16,18,104,0
Kyle Lowry,5:53,0,2,.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-2
Fred VanVleet,9:01,4,8,.500,1,3,.333,3,3,1.000,0,2,2,1,1,0,1,0,12,-3
Patrick McCaw,9:01,1,2,.500,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,-3
OG Anunoby,2:16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+4
Serge Ibaka,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Chris Boucher,12:00,2,4,.500,1,1,1.000,4,4,1.000,2,2,4,0,0,1,0,2,9,+3
Terence Davis,8:18,2,2,1.000,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,4,+4
Rondae Hollis-Jefferson,3:08,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1
Malcolm Miller,2:59,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,+6
Stanley Johnson,4:25,3,4,.750,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,6,+1
Oshae Brissett,2:59,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,+6
Team Totals,240,38,80,.475,8,23,.348,18,22,.818,7,27,34,17,13,7,17,13,102,0
Jaylen Brown,5:34,1,3,.333,1,3,.333,0,0,0.0,0,1,1,1,0,0,0,0,3,0
Jayson Tatum,5:24,2,2,1.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,4,+6
Kemba Walker,5:37,1,1,1.000,0,0,0.0,0,1,.000,0,0,0,1,0,0,0,0,2,+4
Gordon Hayward,5:34,2,2,1.000,1,1,1.000,0,0,0.0,0,1,1,1,0,0,1,0,5,0
Daniel Theis,4:53,2,2,1.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,4,-5
Romeo Langford,8:39,0,3,.000,0,3,.000,0,0,0.0,0,0,0,0,0,0,1,1,0,+2
Brad Wanamaker,7:04,2,3,.667,0,1,.000,2,2,1.000,0,1,1,1,1,0,1,2,6,0
Enes Kanter,1:04,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Grant Williams,4:15,0,1,.000,0,0,0.0,2,2,1.000,0,2,2,0,0,1,0,2,2,+5
Semi Ojeleye,2:59,0,2,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
Tremont Waters,2:59,1,3,.333,0,1,.000,0,0,0.0,0,0,0,0,0,0,1,0,2,-6
Javonte Green,2:59,1,1,1.000,0,0,0.0,0,0,0.0,1,0,1,0,0,1,1,0,2,-6
Carsen Edwards,2:59,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-6
Team Totals,240,46,92,.500,14,33,.424,12,14,.857,13,32,45,26,7,3,19,22,118,0
Ben Simmons,8:59,2,4,.500,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,4,-9
Josh Richardson,12:00,1,5,.200,0,3,.000,0,0,0.0,2,1,3,1,0,1,0,0,2,-15
Tobias Harris,8:59,2,4,.500,2,3,.667,1,1,1.000,0,0,0,0,0,0,0,0,7,-9
Al Horford,9:48,1,4,.250,1,3,.333,2,2,1.000,0,2,2,1,0,0,0,1,5,-11
Joel Embiid,4:53,0,4,.000,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,2,0,-6
Furkan Korkmaz,5:23,1,3,.333,1,2,.500,0,0,0.0,0,0,0,0,2,0,0,0,3,-3
Mike Scott,3:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
James Ennis,3:56,0,1,.000,0,1,.000,0,0,0.0,1,0,1,0,0,0,0,0,0,-10
Trey Burke,3:01,0,1,.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-6
Team Totals,240,44,101,.436,21,44,.477,12,15,.800,14,35,49,29,9,7,7,12,121,0
Khris Middleton,8:04,5,7,.714,3,4,.750,0,0,0.0,0,2,2,3,0,0,0,0,13,+5
Brook Lopez,10:21,3,3,1.000,2,2,1.000,0,0,0.0,1,1,2,1,0,0,0,0,8,+19
Giannis Antetokounmpo,5:27,2,5,.400,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,0,4,+2
Donte DiVincenzo,8:04,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,+5
Wesley Matthews,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
George Hill,6:33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,+13
Kyle Korver,5:35,0,2,.000,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,1,0,+6
Ersan Ä°lyasova,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Sterling Brown,12:00,3,4,.750,0,0,0.0,1,1,1.000,0,3,3,0,0,0,0,1,7,+15
Pat Connaughton,3:56,1,1,1.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,2,+10
Robin Lopez,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,45,95,.474,13,33,.394,6,8,.750,8,39,47,23,6,6,10,15,109,0
Glenn Robinson,7:59,2,2,1.000,2,2,1.000,2,2,1.000,0,0,0,1,0,0,0,0,8,+13
Draymond Green,8:35,2,3,.667,2,3,.667,1,2,.500,0,4,4,0,0,0,1,0,7,+8
Willie Cauley-Stein,7:59,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,+13
Damion Lee,3:25,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1
D'Angelo Russell,5:47,1,3,.333,0,2,.000,2,2,1.000,0,1,1,0,0,0,2,0,4,-2
Alec Burks,10:14,0,3,.000,0,1,.000,3,4,.750,0,4,4,2,0,0,0,1,3,+3
Ky Bowman,12:00,0,3,.000,0,2,.000,0,0,0.0,1,3,4,2,0,0,1,1,0,+7
Marquese Chriss,4:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6
Jacob Evans,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Eric Paschall,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Omari Spellman,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,41,87,.471,9,28,.321,25,28,.893,11,43,54,27,7,8,16,18,116,0
Russell Westbrook,11:21,3,8,.375,0,3,.000,0,0,0.0,0,1,1,0,0,0,1,2,6,-2
James Harden,9:59,2,4,.500,1,2,.500,0,1,.000,0,2,2,1,1,0,0,1,5,-7
P.J. Tucker,12:00,0,1,.000,0,1,.000,0,0,0.0,0,3,3,1,0,0,1,3,0,-7
Danuel House,9:37,1,4,.250,1,3,.333,3,4,.750,1,3,4,0,0,1,0,1,6,-9
Clint Capela,2:56,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-11
Ben McLemore,9:43,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,1,3,0,-1
Austin Rivers,2:23,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,+2
Gary Clark,2:01,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
Tyson Chandler,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,37,100,.370,16,51,.314,14,16,.875,14,35,49,19,8,3,12,25,104,0
Anthony Davis,7:26,2,4,.500,0,1,.000,0,0,0.0,1,0,1,0,0,0,1,2,4,-7
LeBron James,12:00,4,9,.444,2,6,.333,1,2,.500,0,1,1,1,1,1,0,0,11,-5
Danny Green,4:36,0,2,.000,0,2,.000,0,0,0.0,0,0,0,0,0,0,0,3,0,-11
Avery Bradley,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
JaVale McGee,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kentavious Caldwell-Pope,10:34,1,3,.333,1,2,.500,0,0,0.0,0,1,1,1,1,0,0,0,3,-3
Kyle Kuzma,8:02,0,2,.000,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,0,0,-1
Rajon Rondo,8:07,0,1,.000,0,1,.000,0,0,0.0,0,0,0,1,0,0,1,0,0,+3
Dwight Howard,6:46,1,1,1.000,0,0,0.0,0,1,.000,1,4,5,0,0,0,1,2,2,0
Alex Caruso,2:29,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1
Team Totals,240,39,96,.406,12,45,.267,16,21,.762,12,30,42,24,11,10,13,23,106,0
Kawhi Leonard,8:29,2,3,.667,1,1,1.000,6,6,1.000,0,2,2,0,0,0,0,2,11,+11
Paul George,10:13,1,5,.200,0,3,.000,2,2,1.000,0,1,1,1,0,0,0,0,4,+5
Patrick Beverley,7:55,0,1,.000,0,1,.000,0,0,0.0,1,4,5,1,0,1,0,0,0,+10
Ivica Zubac,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Patrick Patterson,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Montrezl Harrell,11:58,4,5,.800,0,0,0.0,0,0,0.0,3,0,3,0,0,1,1,2,8,+3
Lou Williams,12:00,0,2,.000,0,1,.000,2,2,1.000,0,1,1,1,1,0,1,0,2,+5
Landry Shamet,5:54,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,0,-3
Maurice Harkless,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
JaMychal Green,3:31,0,3,.000,0,2,.000,0,0,0.0,0,1,1,1,0,0,0,0,0,-6
Team Totals,240,39,85,.459,9,25,.360,24,32,.750,13,37,50,24,6,6,16,17,111,0
Gary Harris,11:16,1,3,.333,0,2,.000,0,0,0.0,1,0,1,0,0,0,0,0,2,-11
Will Barton,5:11,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-11
Nikola JokiÄ‡,5:11,2,4,.500,1,2,.500,0,0,0.0,1,0,1,0,0,0,1,2,5,-11
Jamal Murray,5:11,0,3,.000,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,1,0,-11
Paul Millsap,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jerami Grant,9:35,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,1,5,-6
Monte Morris,6:49,1,1,1.000,1,1,1.000,0,0,0.0,0,1,1,3,0,0,0,0,3,+3
Malik Beasley,8:30,0,6,.000,0,6,.000,0,0,0.0,0,2,2,1,0,1,0,0,0,-2
Mason Plumlee,6:05,1,2,.500,0,0,0.0,0,0,0.0,0,3,3,0,0,1,1,0,2,0
Michael Porter,0:44,1,1,1.000,1,1,1.000,0,0,0.0,0,1,1,0,0,0,0,0,3,+3
Juan HernangÃ³mez,0:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+3
Vlatko ÄŒanÄar,0:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+3
Team Totals,240,37,92,.402,12,37,.324,14,18,.778,13,27,40,24,10,4,12,15,100,0
Lonzo Ball,12:00,2,6,.333,1,3,.333,0,0,0.0,0,4,4,3,0,0,0,0,5,+8
Brandon Ingram,6:34,2,4,.500,2,2,1.000,0,0,0.0,1,0,1,0,1,1,0,0,6,+11
Jrue Holiday,8:43,2,5,.400,0,1,.000,0,0,0.0,1,2,3,2,1,0,0,1,4,+11
Derrick Favors,10:46,0,5,.000,0,1,.000,2,2,1.000,3,3,6,1,0,0,0,0,2,+8
J.J. Redick,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Josh Hart,11:56,2,4,.500,2,2,1.000,0,0,0.0,1,1,2,0,0,0,0,0,6,+6
E'Twaun Moore,7:19,1,2,.500,1,1,1.000,0,0,0.0,0,1,1,1,0,0,0,0,3,+2
Jahlil Okafor,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kenrich Williams,0:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Jaxson Hayes,1:14,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0
Frank Jackson,0:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Team Totals,240,41,90,.456,18,43,.419,12,12,1.000,14,38,52,23,9,5,18,14,112,0
Tim Frazier,6:44,1,2,.500,1,1,1.000,0,0,0.0,0,1,1,1,0,0,1,0,3,+3
Blake Griffin,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Sviatoslav Mykhailiuk,7:38,1,2,.500,1,1,1.000,0,0,0.0,0,1,1,0,0,0,1,1,3,+5
Andre Drummond,4:22,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-5
Tony Snell,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Bruce Brown,8:17,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,2,2,0,1,0,2,-1
Christian Wood,7:38,3,4,.750,1,2,.500,0,0,0.0,0,2,2,0,0,0,0,0,7,+5
Derrick Rose,5:16,2,4,.500,1,2,.500,0,0,0.0,0,0,0,1,0,0,0,1,5,-3
Langston Galloway,4:22,0,2,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
Thon Maker,12:00,1,2,.500,0,1,.000,2,2,1.000,0,1,1,2,0,1,0,1,4,0
Markieff Morris,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Louis King,3:43,1,3,.333,0,1,.000,0,0,0.0,0,1,1,0,1,0,0,0,2,+1
Team Totals,240,46,86,.535,19,48,.396,21,26,.808,11,37,48,32,5,5,14,23,132,0
Bradley Beal,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Ish Smith,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,5:14,0,3,.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-4
Ian Mahinmi,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Isaac Bonga,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Johnathan Williams,12:00,2,2,1.000,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,4,0
Gary Payton,12:00,1,3,.333,1,2,.500,0,0,0.0,1,1,2,2,0,0,1,1,3,0
Troy Brown,8:17,4,7,.571,0,0,0.0,0,1,.000,0,2,2,1,1,0,2,1,8,+1
AnÅ¾ejs PaseÄÅ†iks,6:46,2,3,.667,0,0,0.0,0,0,0.0,2,0,2,0,1,0,0,2,4,+4
Jordan McRae,2:36,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,+3
Justin Robinson,9:24,1,2,.500,1,1,1.000,0,0,0.0,0,1,1,2,0,0,1,0,3,-3
Garrison Mathews,3:43,1,2,.500,1,2,.500,1,1,1.000,0,1,1,1,1,0,1,0,4,-1
Team Totals,240,38,92,.413,7,24,.292,19,27,.704,18,26,44,18,7,5,12,25,102,0
Spencer Dinwiddie,7:25,2,5,.400,1,4,.250,3,5,.600,0,1,1,1,0,0,0,2,8,0
Joe Harris,8:28,0,2,.000,0,1,.000,0,0,0.0,0,1,1,1,0,0,0,1,0,+1
Garrett Temple,7:25,1,3,.333,1,2,.500,0,0,0.0,1,1,2,0,0,0,0,0,3,0
Taurean Waller-Prince,7:25,0,2,.000,0,2,.000,0,0,0.0,1,1,2,0,0,0,0,0,0,0
Jarrett Allen,8:28,0,2,.000,0,0,0.0,1,2,.500,2,2,4,1,0,0,0,1,1,+1
TimothÃ© Luwawu-Cabarrot,3:32,0,0,0.0,0,0,0.0,4,4,1.000,1,1,2,0,0,0,0,0,4,+5
Rodions Kurucs,4:35,1,2,.500,1,1,1.000,0,0,0.0,0,0,0,0,0,0,0,0,3,+6
Wilson Chandler,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
DeAndre Jordan,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Theo Pinson,4:35,0,1,.000,0,1,.000,0,0,0.0,0,1,1,1,0,0,0,1,0,+6
DÅ¾anan Musa,4:35,1,2,.500,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,2,+6
Henry Ellenson,3:32,0,2,.000,0,2,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,+5
Team Totals,240,21,78,.269,13,50,.260,27,36,.750,9,41,50,17,3,3,13,19,82,0
Julius Randle,11:00,4,9,.444,0,2,.000,0,0,0.0,1,4,5,0,0,0,1,1,8,-4
Marcus Morris,6:20,1,1,1.000,0,0,0.0,2,2,1.000,0,1,1,1,0,0,0,1,4,0
Elfrid Payton,7:27,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,+2
RJ Barrett,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Taj Gibson,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,7:31,0,1,.000,0,0,0.0,1,2,.500,1,1,2,0,0,0,0,0,1,-4
Damyean Dotson,12:00,0,1,.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,-6
Bobby Portis,4:29,0,2,.000,0,1,.000,0,0,0.0,1,1,2,1,0,0,0,2,0,-2
Frank Ntilikina,2:22,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,0,-2
Kevin Knox,5:40,1,1,1.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,2,-6
Kadeem Allen,2:11,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,1,1,0,-6
Ignas Brazdeikis,1:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,37,92,.402,9,29,.310,11,15,.733,13,47,60,16,6,2,13,27,94,0
Kristaps PorziÅ†Ä£is,9:07,2,3,.667,2,3,.667,0,0,0.0,0,1,1,1,0,0,1,1,6,-1
Dorian Finney-Smith,10:11,1,1,1.000,1,1,1.000,0,0,0.0,0,0,0,0,0,1,0,0,3,+1
Luka DonÄiÄ‡,4:35,1,3,.333,0,1,.000,0,2,.000,0,3,3,0,0,0,0,1,2,-11
Dwight Powell,3:54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Tim Hardaway,1:51,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-6
Maxi Kleber,10:59,1,3,.333,1,3,.333,0,0,0.0,2,3,5,0,0,0,1,0,3,+2
Delon Wright,10:09,2,6,.333,2,4,.500,0,0,0.0,0,1,1,4,3,0,0,0,6,+5
Seth Curry,1:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Jalen Brunson,7:25,1,2,.500,1,2,.500,0,0,0.0,0,1,1,2,0,0,2,0,3,+10
Team Totals,240,38,90,.422,16,40,.400,10,15,.667,13,39,52,22,7,3,14,11,102,0
DeMar DeRozan,12:00,4,6,.667,0,0,0.0,2,2,1.000,0,1,1,2,0,0,1,0,10,+1
LaMarcus Aldridge,10:11,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1
Dejounte Murray,7:46,0,1,.000,0,0,0.0,0,0,0.0,0,2,2,0,2,0,1,1,0,-10
Bryn Forbes,4:35,1,3,.333,0,2,.000,1,1,1.000,0,2,2,0,0,0,0,0,3,+11
Trey Lyles,2:21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-10
Rudy Gay,9:18,2,3,.667,2,3,.667,0,0,0.0,0,3,3,0,1,1,1,1,6,+11
Derrick White,7:53,1,4,.250,1,4,.250,0,0,0.0,0,1,1,3,0,0,1,1,3,+7
Patty Mills,4:07,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-6
Jakob PÃ¶ltl,1:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+2
Marco Belinelli,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,40,83,.482,8,29,.276,10,15,.667,5,40,45,18,9,7,13,16,98,0
Shai Gilgeous-Alexander,10:42,3,4,.750,0,1,.000,0,0,0.0,0,0,0,0,0,0,1,0,6,+1
Terrance Ferguson,10:42,1,1,1.000,1,1,1.000,0,0,0.0,1,1,2,1,0,0,0,1,3,+1
Chris Paul,6:49,3,4,.750,1,2,.500,0,0,0.0,0,3,3,0,0,0,1,1,7,+6
Steven Adams,8:42,0,0,0.0,0,0,0.0,1,2,.500,0,2,2,3,0,0,0,1,1,+1
Darius Bazley,1:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Dennis SchrÃ¶der,10:42,2,7,.286,0,3,.000,2,2,1.000,0,0,0,0,1,0,0,0,6,+1
Abdel Nader,5:11,0,3,.000,0,2,.000,0,0,0.0,0,0,0,1,0,0,0,0,0,-7
Nerlens Noel,2:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Mike Muscala,1:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Deonte Burton,1:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Kevin Hervey,1:18,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,38,92,.413,10,35,.286,11,13,.846,7,27,34,23,11,4,9,14,97,0
Jaren Jackson,5:24,1,3,.333,0,2,.000,0,0,0.0,0,0,0,1,0,0,0,0,2,0
Jonas ValanÄiÅ«nas,9:30,5,5,1.000,0,0,0.0,1,2,.500,1,0,1,0,0,0,1,1,11,+3
Ja Morant,10:00,3,4,.750,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,0,6,+1
Jae Crowder,5:24,0,1,.000,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,1,0,0
Dillon Brooks,5:56,1,3,.333,1,1,1.000,0,0,0.0,0,0,0,0,0,0,0,0,3,-5
Tyus Jones,2:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
De'Anthony Melton,6:04,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,+6
Brandon Clarke,2:30,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2
Solomon Hill,6:36,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,+1
Grayson Allen,4:48,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Kyle Anderson,1:48,0,1,.000,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,0,+4
Team Totals,240,46,84,.548,10,25,.400,8,11,.727,8,42,50,26,6,8,15,14,110,0
Richaun Holmes,10:03,1,3,.333,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,1,2,-8
Harrison Barnes,7:50,0,3,.000,0,0,0.0,2,2,1.000,0,1,1,0,0,0,0,1,2,-4
Buddy Hield,4:06,0,2,.000,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,0,0,-5
Marvin Bagley,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
